"Anno";"Mes";"Nombre";"Gasto"
2017;1;"Morales, Cristian";1002775,38733455
2018;1;"Morales, Cristian";1005095,84750143
2019;1;"Morales, Cristian";1000858,72464219
2020;1;"Morales, Cristian";1119974,13673169
2021;1;"Morales, Cristian";1003366,789828
2017;2;"Morales, Cristian";1009107,82676131
2018;2;"Morales, Cristian";1002515,12332952
2019;2;"Morales, Cristian";1000793,73612006
2020;2;"Morales, Cristian";1000664,8350426
2021;2;"Morales, Cristian";1004708,02698181
2017;3;"Morales, Cristian";1001147,30059923
2018;3;"Morales, Cristian";1000798,01337092
2019;3;"Morales, Cristian";1000236,79172556
2020;3;"Morales, Cristian";1000423,71125317
2021;3;"Morales, Cristian";1000351,57624853
2017;4;"Morales, Cristian";1000353,81438513
2018;4;"Morales, Cristian";1001554,58081056
2019;4;"Morales, Cristian";1000405,33401103
2020;4;"Morales, Cristian";1000484,51383536
2021;4;"Morales, Cristian";1009282,52547568
2017;5;"Morales, Cristian";1130001,42611636
2018;5;"Morales, Cristian";1003488,05116591
2019;5;"Morales, Cristian";1001749,12969815
2020;5;"Morales, Cristian";1000484,48877033
2021;5;"Morales, Cristian";1000356,77376997
2017;6;"Morales, Cristian";1000228,40074958
2018;6;"Morales, Cristian";1008820,29453457
2019;6;"Morales, Cristian";1002076,31514275
2020;6;"Morales, Cristian";1052413,17794592
2021;6;"Morales, Cristian";1001406,96147758
2017;7;"Morales, Cristian";1002189,72509957
2018;7;"Morales, Cristian";1000442,37583618
2019;7;"Morales, Cristian";1000387,52024291
2020;7;"Morales, Cristian";1003164,4410758
2021;7;"Morales, Cristian";1003301,67438212
2017;8;"Morales, Cristian";1003069,95109412
2018;8;"Morales, Cristian";1000328,45511356
2019;8;"Morales, Cristian";1001178,91934955
2020;8;"Morales, Cristian";1000714,01987979
2021;8;"Morales, Cristian";1057271,62731184
2017;9;"Morales, Cristian";1002252,01560382
2018;9;"Morales, Cristian";1000345,66570203
2019;9;"Morales, Cristian";1008266,37333665
2020;9;"Morales, Cristian";1000763,02344127
2021;9;"Morales, Cristian";1000229,69013187
2017;10;"Morales, Cristian";1002089,32208193
2018;10;"Morales, Cristian";1006000,57523076
2019;10;"Morales, Cristian";1008820,32968263
2020;10;"Morales, Cristian";1004945,74972242
2021;10;"Morales, Cristian";1000350,88142408
2017;11;"Morales, Cristian";1001147,65125031
